LOCATION,BLI
AUS,7.1
AUT,7.2
BEL,6.8
CAN,7.0
CZE,6.9
DNK,7.5
FIN,7.9
FRA,6.7
DEU,7.3
GRC,5.8
HUN,6.0
ISL,7.6
IRL,7.0
ITA,6.5
JPN,6.1
KOR,5.8
LUX,7.4
MEX,6.0
NLD,7.5
NZL,7.3
NOR,7.3
POL,6.1
PRT,5.8
SVK,6.5
ESP,6.5
SWE,7.3
CHE,7.5
TUR,4.9
GBR,6.8
USA,7.0
BRA,6.1
CHL,6.2
EST,6.5
ISR,7.2
LVA,6.2
RUS,5.5
SVN,6.5
ZAF,4.9
OECD,6.7
COL,5.7
LTU,6.4
CRI,6.3
